"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.441071710E-1,1.643740386E-2,-9.459418245E-3,5.329249543E-4
4.466128680E-1,7.794027682E-3,-4.196783993E-3,-2.831163874E-4
4.490810490E-1,-1.365620177E-3,2.947741188E-3,-4.330015217E-4
4.515692890E-1,-1.157446392E-2,1.224062033E-2,-2.181661548E-3
4.540634300E-1,-2.151684463E-2,2.098391950E-2,-2.731240354E-3
4.565825540E-1,-3.588916361E-2,2.922760323E-2,-5.545750260E-3
4.590779570E-1,-4.716385901E-2,3.772109374E-2,-6.761485245E-3
4.615722190E-1,-6.138629466E-2,4.729709029E-2,-9.575995617E-3
4.640668880E-1,-7.560873032E-2,5.580723658E-2,-1.184092648E-2
4.665621280E-1,-9.159647673E-2,6.220233440E-2,-1.530493889E-2
4.690579770E-1,-1.075842232E-1,6.819774210E-2,-1.612097956E-2
4.715347840E-1,-1.217067391E-1,7.269429415E-2,-2.023449354E-2
4.740479680E-1,-1.374280155E-1,7.747396827E-2,-2.116711251E-2
4.765475200E-1,-1.497185975E-1,7.850650698E-2,-2.408154681E-2
4.790373470E-1,-1.612097919E-1,7.963897288E-2,-2.752890438E-2
4.815331160E-1,-1.701529473E-1,7.917266339E-2,-2.884456329E-2
4.840015800E-1,-1.765813529E-1,7.802354544E-2,-3.189222887E-2
4.865226990E-1,-1.791627109E-1,7.429306954E-2,-3.307465464E-2
4.890280700E-1,-1.824102253E-1,6.977985799E-2,-3.570597246E-2
4.915124460E-1,-1.792459786E-1,6.413418800E-2,-3.820405900E-2
4.940077250E-1,-1.755654663E-1,5.755589530E-2,-3.925325349E-2
4.965132180E-1,-1.666722745E-1,5.081106350E-2,-4.028579593E-2
4.989979600E-1,-1.560304314E-1,4.511542991E-2,-4.278388247E-2
5.014672790E-1,-1.432735473E-1,3.713820875E-2,-4.343338311E-2
5.039876650E-1,-1.281184852E-1,2.954402752E-2,-4.379976913E-2
5.064833930E-1,-1.109483168E-1,2.166672982E-2,-4.378311709E-2
5.089778170E-1,-9.271229059E-2,1.405589562E-2,-4.536523670E-2
5.114735050E-1,-7.312729955E-2,7.494257297E-3,-4.614796862E-2
5.139622340E-1,-5.300937966E-2,2.498085669E-4,-4.559839144E-2
5.164628430E-1,-3.115945682E-2,-6.328484043E-3,-4.504881427E-2
5.189585710E-1,-1.050861366E-2,-1.195750386E-2,-4.529862106E-2
5.214294370E-1,7.610834669E-3,-1.890218258E-2,-4.434935004E-2
5.239483590E-1,2.428139374E-2,-2.343204431E-2,-4.103522003E-2
5.264192650E-1,4.026914015E-2,-2.727909572E-2,-3.983613849E-2
5.289381040E-1,5.347568914E-2,-3.137595579E-2,-3.623889759E-2
5.314333850E-1,6.158614159E-2,-3.503981605E-2,-3.359092772E-2
5.339027850E-1,6.719850749E-2,-3.547281772E-2,-3.132599592E-2
5.364237410E-1,7.226129621E-2,-3.803751990E-2,-2.721248008E-2
5.388929390E-1,7.374349236E-2,-3.803751990E-2,-2.364854515E-2
5.413878110E-1,6.974655390E-2,-3.705493733E-2,-1.993472315E-2
5.438830910E-1,6.495022774E-2,-3.618893400E-2,-1.570463181E-2
5.464045350E-1,5.680647120E-2,-3.518969938E-2,-1.358958613E-2
5.488985120E-1,4.814643785E-2,-3.349100426E-2,-9.342840873E-3
5.513681990E-1,3.867036849E-2,-3.247511387E-2,-6.045367569E-3
5.538880960E-1,3.135930374E-2,-2.947741188E-2,-4.196783993E-3
5.563843130E-1,2.374846861E-2,-2.821171470E-2,-3.397396533E-3
5.588383730E-1,1.657063514E-2,-2.401493117E-2,-1.165773370E-3
5.613474470E-1,9.242917411E-3,-2.208307758E-2,-2.081738086E-3
5.638686470E-1,4.313361365E-3,-1.963495463E-2,-1.165773370E-3
5.663643740E-1,2.314892830E-3,-1.961830072E-2,-1.698698266E-3
5.688592880E-1,1.698698266E-3,-1.388935652E-2,-3.180895932E-3
5.713421570E-1,3.180895932E-3,-1.175765693E-2,-2.647970803E-3
5.738233990E-1,7.477603387E-3,-9.142993949E-3,-6.761485245E-3
5.763191670E-1,1.164107956E-2,-5.179364234E-3,-7.710758131E-3
5.788388610E-1,1.781967841E-2,-5.662327749E-4,-1.155781001E-2
5.813341810E-1,2.548047528E-2,4.946209956E-3,-1.622090302E-2
