"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.905092390E-1,1.889922917E-1,-1.176899746E-1,9.987188339E0
7.929799410E-1,1.651251018E-1,-1.212064624E-1,9.990778923E0
7.954745710E-1,1.589899510E-1,-1.393874288E-1,9.944241524E0
7.979953640E-1,1.579424888E-1,-1.238999367E-1,9.933393478E0
8.004693210E-1,1.436520964E-1,-1.193359941E-1,9.887978554E0
8.029843770E-1,1.293617040E-1,-1.100584567E-1,9.838896751E0
8.054555690E-1,1.163432375E-1,-9.232640266E-2,9.798195839E0
8.079744070E-1,9.023147821E-2,-7.841010392E-2,9.715670586E0
8.104701350E-1,1.011550203E-1,-5.843348429E-2,9.665391922E0
8.129387230E-1,7.863456011E-2,-2.753331885E-2,9.625813484E0
8.154330260E-1,1.086369008E-1,-8.903437294E-3,9.561244011E0
8.179541440E-1,1.137245819E-1,3.254617751E-2,9.501389503E0
8.204494240E-1,9.950900823E-2,5.012859777E-2,9.448717117E0
8.229447050E-1,1.212064624E-1,8.013093472E-2,9.441235542E0
8.254385190E-1,1.322796494E-1,1.241243929E-1,9.414749146E0
8.279067000E-1,1.552490145E-1,1.660229266E-1,9.437270164E0
8.304285100E-1,1.733551621E-1,1.992424726E-1,9.415647507E0
8.329245210E-1,2.011129409E-1,2.436100245E-1,9.464428902E0
8.354185400E-1,1.976712793E-1,2.665045857E-1,9.487024307E0
8.379254990E-1,2.012625784E-1,2.666542232E-1,9.518074036E0
8.403836690E-1,2.157774270E-1,2.968810201E-1,9.584887505E0
8.429034850E-1,2.136076838E-1,3.259107172E-1,9.643245697E0
8.453990910E-1,2.292448133E-1,3.430442214E-1,9.722029686E0
8.478841970E-1,2.364274114E-1,3.483563364E-1,9.821165085E0
8.504032810E-1,2.293944508E-1,3.704279065E-1,9.916633606E0
8.528632430E-1,2.281973511E-1,3.748421967E-1,1.005272961E1
8.553780540E-1,2.258031517E-1,3.705027103E-1,1.012328339E1
8.578738220E-1,1.995417476E-1,3.734206557E-1,1.019727898E1
8.603686540E-1,1.766472012E-1,3.450643122E-1,1.023917770E1
8.628870060E-1,1.862988174E-1,3.607762754E-1,1.027015305E1
8.653325210E-1,1.755249053E-1,3.609259129E-1,1.029401970E1
8.678527850E-1,1.468693167E-1,3.525462151E-1,1.027134991E1
8.703481060E-1,1.528548151E-1,3.618985415E-1,1.024501324E1
8.728428160E-1,1.348983049E-1,3.534440398E-1,1.021396351E1
8.753120140E-1,1.170914248E-1,3.578583300E-1,1.014228725E1
8.778092060E-1,1.039981395E-1,3.645172119E-1,1.005736828E1
8.803028990E-1,9.090484679E-2,3.651905656E-1,9.959429741E0
8.827969580E-1,6.239888072E-2,3.860650361E-1,9.843386650E0
8.853053810E-1,3.733458370E-2,3.818751574E-1,9.717989922E0
8.877869490E-1,2.304419130E-2,3.884592354E-1,9.615188599E0
8.902844660E-1,1.361702196E-2,4.071639180E-1,9.545831680E0
8.928028590E-1,1.503857970E-2,4.317793250E-1,9.459640503E0
8.952972030E-1,-2.992752125E-4,4.623802006E-1,9.378237724E0
8.977917500E-1,-1.339256577E-2,4.633528590E-1,9.337611198E0
9.002616390E-1,-2.753331885E-2,4.894646108E-1,9.300426483E0
9.027568380E-1,-4.077624902E-2,4.730044603E-1,9.299154282E0
9.052768980E-1,-3.950432688E-2,4.860977530E-1,9.295488358E0
9.077724220E-1,-4.055179283E-2,5.030816197E-1,9.336039543E0
9.102714050E-1,-1.496376062E-4,4.790647924E-1,9.339780807E0
9.127383240E-1,1.556231081E-2,5.068973899E-1,9.410184860E0
9.152310810E-1,9.651625529E-3,5.191676617E-1,9.462633133E0
9.177513040E-1,3.464110568E-2,5.149778128E-1,9.567828178E0
9.202465030E-1,4.414309561E-2,5.011363626E-1,9.657536507E0
9.227411720E-1,6.681319326E-2,5.039794445E-1,9.747094154E0
9.252104110E-1,7.511807978E-2,4.985924959E-1,9.853487015E0
9.277074410E-1,7.983165979E-2,4.955997467E-1,9.946636200E0
9.302262790E-1,9.180267155E-2,4.973205924E-1,1.005183125E1
9.327218040E-1,7.025485486E-2,4.896142483E-1,1.014617825E1
9.352157410E-1,5.933130905E-2,4.731540978E-1,1.017849922E1
9.376860780E-1,6.299743056E-2,4.828805625E-1,1.021665764E1
9.401805030E-1,3.673603386E-2,4.819827378E-1,1.024531269E1
9.426951930E-1,2.828150801E-2,4.711340070E-1,1.022743130E1
9.451955990E-1,-8.529343642E-3,4.938789308E-1,1.022009850E1
9.476912860E-1,-1.189618930E-2,5.260509849E-1,1.019600677E1
9.501603210E-1,-3.568856791E-2,5.339818001E-1,1.012073994E1
9.526814400E-1,-5.955576897E-2,5.371990204E-1,1.003941154E1
9.551757020E-1,-8.072949201E-2,5.738602281E-1,9.965190887E0
9.576712670E-1,-8.185177296E-2,5.841103792E-1,9.887454033E0
9.601208520E-1,-9.950900823E-2,6.206967831E-1,9.803657532E0
9.626600770E-1,-9.935937077E-2,6.429179907E-1,9.725920677E0
9.651553980E-1,-1.229272932E-1,6.820482016E-1,9.658733368E0
9.676252870E-1,-1.166425124E-1,7.245453000E-1,9.585710526E0
9.701453060E-1,-1.212064624E-1,7.529016137E-1,9.524658203E0
9.726191020E-1,-1.306336373E-1,7.764695287E-1,9.466000557E0
9.751350530E-1,-1.399859786E-1,8.036287427E-1,9.408464432E0
9.776305770E-1,-1.312321872E-1,8.525602818E-1,9.404648781E0
9.800991230E-1,-1.106570065E-1,8.965536952E-1,9.380631447E0
9.826205260E-1,-1.212064624E-1,9.240122437E-1,9.374496460E0
9.851138940E-1,-1.019032076E-1,9.575310349E-1,9.395819664E0
