"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.586586110E-1,5.662327749E-4,-1.969823837E-1,3.920329362E-2
4.611788340E-1,8.576761000E-3,-1.994305104E-1,4.569831491E-2
4.636610120E-1,1.630417258E-2,-2.017454058E-1,5.072779581E-2
4.661433520E-1,2.168338373E-2,-1.997469366E-1,6.038706005E-2
4.686642670E-1,2.531393617E-2,-1.989308894E-1,6.846420467E-2
4.711589370E-1,2.976052836E-2,-1.948173791E-1,7.507580519E-2
4.736534430E-1,3.500650823E-2,-1.921694130E-1,7.957235724E-2
4.761410330E-1,3.728809208E-2,-1.915032566E-1,8.393567801E-2
4.786178810E-1,3.487327695E-2,-1.922859848E-1,8.288648725E-2
4.811386740E-1,2.971056662E-2,-2.026613653E-1,8.067151159E-2
4.836222340E-1,1.806948707E-2,-2.194152027E-1,7.357694954E-2
4.861282160E-1,3.597243456E-3,-2.376012653E-1,6.648238748E-2
4.886230080E-1,-1.100823097E-2,-2.582021356E-1,5.978751928E-2
4.911284600E-1,-2.936083451E-2,-2.790361643E-1,5.204345286E-2
4.936134450E-1,-4.826301709E-2,-3.004031479E-1,4.323353618E-2
4.960828060E-1,-6.311830133E-2,-3.196550608E-1,3.733805567E-2
4.986028650E-1,-7.799023390E-2,-3.386405110E-1,3.157580271E-2
5.010976570E-1,-9.322855622E-2,-3.553610146E-1,2.568032034E-2
5.035673440E-1,-1.044199839E-1,-3.665024936E-1,2.174999937E-2
5.060878910E-1,-1.097658873E-1,-3.662027121E-1,1.592113264E-2
5.085833340E-1,-1.111814678E-1,-3.580756187E-1,1.085834578E-2
5.110763770E-1,-1.074343398E-1,-3.417214751E-1,6.028713658E-3
5.135722670E-1,-9.884092212E-2,-3.201879859E-1,-0.000000000E0
5.160491140E-1,-8.701664954E-2,-2.952071130E-1,-4.313361365E-3
5.185623390E-1,-7.262767851E-2,-2.681278586E-1,-9.575995617E-3
5.210577820E-1,-5.540754274E-2,-2.363855243E-1,-1.457216684E-2
5.235522880E-1,-3.897013888E-2,-2.043767273E-1,-1.878560521E-2
5.260505790E-1,-1.891883649E-2,-1.690537930E-1,-2.314892784E-2
5.285195740E-1,-5.828866852E-4,-1.345135868E-1,-2.246611752E-2
5.310373950E-1,2.163342200E-2,-9.812480956E-2,-2.165007591E-2
5.335323910E-1,4.143491387E-2,-6.318491697E-2,-2.110049687E-2
5.360267760E-1,5.910470709E-2,-2.689605579E-2,-2.281584963E-2
5.385178230E-1,7.715754211E-2,5.795558915E-3,-2.133365162E-2
5.409888110E-1,9.359494597E-2,3.887021542E-2,-2.316558175E-2
5.434864920E-1,1.057189852E-1,6.719850749E-2,-2.324885130E-2
5.459813660E-1,1.151617542E-1,9.301205724E-2,-2.254938707E-2
5.485198580E-1,1.206741929E-1,1.143290550E-1,-2.326550521E-2
5.509746920E-1,1.246045157E-1,1.357626319E-1,-2.493089624E-2
5.535027690E-1,1.259368211E-1,1.522999555E-1,-2.431470156E-2
5.559866140E-1,1.232388988E-1,1.657896191E-1,-2.661293931E-2
5.584560970E-1,1.179762632E-1,1.747827381E-1,-2.769544348E-2
5.609506850E-1,1.124305129E-1,1.821437627E-1,-2.997702919E-2
5.634710700E-1,1.054858342E-1,1.840589494E-1,-3.209207579E-2
5.659663100E-1,9.747530520E-2,1.843920350E-1,-3.422377259E-2
5.684614680E-1,9.021420032E-2,1.780302376E-1,-3.472338989E-2
5.709565440E-1,8.023851365E-2,1.687706709E-1,-3.787098080E-2
5.734254160E-1,6.878062338E-2,1.568464786E-1,-3.928656131E-2
5.759458430E-1,5.892151594E-2,1.444892734E-1,-4.494889081E-2
